source,target,weight
guard,guard,0
guard,guard,0
guard,murdered,0
murdered,guard,0
guard,fabric,0
fabric,guard,0
guard,attorney,0
attorney,guard,0
guard,examples,0
examples,guard,0
guard,action,0
action,guard,0
guard,obama,2
obama,guard,2
guard,devastate,0
devastate,guard,0
guard,tom,0
tom,guard,0
guard,totally,0
totally,guard,0
guard,egg,0
egg,guard,0
guard,background,0
background,guard,0
guard,goes,0
goes,guard,0
guard,jackie,0
jackie,guard,0
guard,puns,0
puns,guard,0
guard,place,0
place,guard,0
guard,george,0
george,guard,0
guard,minute,0
minute,guard,0
guard,impressed,0
impressed,guard,0
guard,time,0
time,guard,0
guard,acting,0
acting,guard,0
guard,work,0
work,guard,0
guard,christine,0
christine,guard,0
guard,tech,0
tech,guard,0
guard,globally,0
globally,guard,0
guard,movement,0
movement,guard,0
guard,ceremony,1
ceremony,guard,1
guard,chip,0
chip,guard,0
guard,harmful,0
harmful,guard,0
guard,belong,0
belong,guard,0
murdered,murdered,0
murdered,murdered,0
murdered,fabric,0
fabric,murdered,0
murdered,attorney,0
attorney,murdered,0
murdered,examples,0
examples,murdered,0
murdered,action,0
action,murdered,0
murdered,obama,0
obama,murdered,0
murdered,devastate,0
devastate,murdered,0
murdered,tom,0
tom,murdered,0
murdered,totally,0
totally,murdered,0
murdered,egg,0
egg,murdered,0
murdered,background,0
background,murdered,0
murdered,goes,0
goes,murdered,0
murdered,jackie,0
jackie,murdered,0
murdered,puns,0
puns,murdered,0
murdered,place,0
place,murdered,0
murdered,george,0
george,murdered,0
murdered,minute,0
minute,murdered,0
murdered,impressed,0
impressed,murdered,0
murdered,time,0
time,murdered,0
murdered,acting,0
acting,murdered,0
murdered,work,0
work,murdered,0
murdered,christine,0
christine,murdered,0
murdered,tech,0
tech,murdered,0
murdered,globally,0
globally,murdered,0
murdered,movement,0
movement,murdered,0
murdered,ceremony,0
ceremony,murdered,0
murdered,chip,0
chip,murdered,0
murdered,harmful,0
harmful,murdered,0
murdered,belong,0
belong,murdered,0
fabric,fabric,0
fabric,fabric,0
fabric,attorney,0
attorney,fabric,0
fabric,examples,0
examples,fabric,0
fabric,action,0
action,fabric,0
fabric,obama,1
obama,fabric,1
fabric,devastate,0
devastate,fabric,0
fabric,tom,0
tom,fabric,0
fabric,totally,0
totally,fabric,0
fabric,egg,0
egg,fabric,0
fabric,background,0
background,fabric,0
fabric,goes,0
goes,fabric,0
fabric,jackie,0
jackie,fabric,0
fabric,puns,0
puns,fabric,0
fabric,place,0
place,fabric,0
fabric,george,0
george,fabric,0
fabric,minute,0
minute,fabric,0
fabric,impressed,0
impressed,fabric,0
fabric,time,0
time,fabric,0
fabric,acting,0
acting,fabric,0
fabric,work,0
work,fabric,0
fabric,christine,0
christine,fabric,0
fabric,tech,0
tech,fabric,0
fabric,globally,0
globally,fabric,0
fabric,movement,0
movement,fabric,0
fabric,ceremony,0
ceremony,fabric,0
fabric,chip,0
chip,fabric,0
fabric,harmful,0
harmful,fabric,0
fabric,belong,0
belong,fabric,0
attorney,attorney,0
attorney,attorney,0
attorney,examples,0
examples,attorney,0
attorney,action,0
action,attorney,0
attorney,obama,1
obama,attorney,1
attorney,devastate,0
devastate,attorney,0
attorney,tom,0
tom,attorney,0
attorney,totally,0
totally,attorney,0
attorney,egg,0
egg,attorney,0
attorney,background,0
background,attorney,0
attorney,goes,0
goes,attorney,0
attorney,jackie,0
jackie,attorney,0
attorney,puns,0
puns,attorney,0
attorney,place,0
place,attorney,0
attorney,george,0
george,attorney,0
attorney,minute,0
minute,attorney,0
attorney,impressed,0
impressed,attorney,0
attorney,time,0
time,attorney,0
attorney,acting,0
acting,attorney,0
attorney,work,0
work,attorney,0
attorney,christine,0
christine,attorney,0
attorney,tech,0
tech,attorney,0
attorney,globally,0
globally,attorney,0
attorney,movement,0
movement,attorney,0
attorney,ceremony,0
ceremony,attorney,0
attorney,chip,0
chip,attorney,0
attorney,harmful,0
harmful,attorney,0
attorney,belong,0
belong,attorney,0
examples,examples,0
examples,examples,0
examples,action,0
action,examples,0
examples,obama,0
obama,examples,0
examples,devastate,0
devastate,examples,0
examples,tom,0
tom,examples,0
examples,totally,0
totally,examples,0
examples,egg,0
egg,examples,0
examples,background,0
background,examples,0
examples,goes,0
goes,examples,0
examples,jackie,0
jackie,examples,0
examples,puns,0
puns,examples,0
examples,place,0
place,examples,0
examples,george,0
george,examples,0
examples,minute,0
minute,examples,0
examples,impressed,0
impressed,examples,0
examples,time,0
time,examples,0
examples,acting,0
acting,examples,0
examples,work,0
work,examples,0
examples,christine,0
christine,examples,0
examples,tech,0
tech,examples,0
examples,globally,0
globally,examples,0
examples,movement,0
movement,examples,0
examples,ceremony,0
ceremony,examples,0
examples,chip,0
chip,examples,0
examples,harmful,0
harmful,examples,0
examples,belong,0
belong,examples,0
action,action,0
action,action,0
action,obama,18
obama,action,18
action,devastate,0
devastate,action,0
